Platform,Nama Toko,Rating Produk,Produk Terjual,Kategori Seri,Kategori Varian,penyimpanan,Battery Health,Harga,Wilayah Toko,Link Pembelian
Tokopedia,zpa 168,5.0,70,iPhone 12 Series,iPhone 12,128GB,N/A,Rp3.860.000,Kab. Tangerang,https://www.tokopedia.com/yenishop88/apple-iphone-12-fullset-original-bergaransi-murah-1732336581039457857?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,QQ store168,4.9,250,iPhone 12 Series,iPhone 12,64GB,N/A,Rp4.810.000,Jakarta Barat,https://www.tokopedia.com/cris0880/iphone-12-64gb-128gb-256gb-second-mulus-normal-fullset-256gb-black-b2e56?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,DIGICELL,4.9,100,iPhone 12 Series,iPhone 12,256GB,90,Rp4.889.000,Bandung,https://www.tokopedia.com/digicell/iphone-12-64-128-256-gb-second-mulus-inter-ibox-64-gb-inter-green?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,Boboystore889 Shop,4.9,100,iPhone 12 Series,iPhone 12,64GB,90,Rp5.160.000,Jakarta Barat,https://www.tokopedia.com/boboystore889-shop/iphone-12-64gb-128gb-256gb-second-imei-terdaftar-fullset-1731183699187435339?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,AFAGADGET,4.8,90,iPhone 12 Series,iPhone 12,64GB,N/A,Rp4.005.000,Depok,https://www.tokopedia.com/afagadgetstore/apple-iphone-12-12-pro-max-256gb-128gb-64gb-original-garansi-resmi-ibox-indonesia-1731061792806831216?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,ayistore09,0.0,5,iPhone 12 Series,iPhone 12,128GB,N/A,Rp960.000,Kab. Ogan Ilir,https://www.tokopedia.com/ayistore09/apple-12-iphone-12-original-1731574537640576867?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,AA Store168,0.0,21,iPhone 12 Series,iPhone 12,256GB,95,Rp3.860.000,Kab. Tangerang,https://www.tokopedia.com/astore168/iphone-12-64-128-256gb-second-mulus-fullset-1735292364077631372-1735292425548367756?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,Vibe Gadgett,4.7,9,iPhone 12 Series,iPhone 12,64GB,N/A,Rp4.610.000,Medan,https://www.tokopedia.com/vibegadget/second-iphone-12-64gb-128gb-fullset-no-minus-all-operator-1732175414205318274?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,Kitar ID,5.0,14,iPhone 12 Series,iPhone 12,64GB,N/A,Rp5.900.000,Jakarta Selatan,https://www.tokopedia.com/kitar-id/secondhand-iphone-12-ex-ibox-beacukai-imei-permanen-garansi-12-bln-kualitas-teruji-resmi-fullset-64gb-128gb-256gb-1733278456598332639?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,Azizstore818,4.4,29,iPhone 12 Series,iPhone 12,64GB,N/A,Rp3.910.000,Jakarta Utara,https://www.tokopedia.com/azizstore818/iphone-12-256gb-128gb-64gb-second-original-100-fullset-like-new-putih-12mini-128gb-2c9ea?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,Bandariphonesby,5.0,14,iPhone 12 Series,iPhone 12,64GB,N/A,Rp4.525.000,Surabaya,https://www.tokopedia.com/bandariphones/iphone-12-64gb-128gb-256gb-fullset-all-operator-bergaransi-1731202615376315894?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,GOBLAR STORE,5.0,1,iPhone 12 Series,iPhone 12,64GB,N/A,Rp2.960.000,Depok,https://www.tokopedia.com/goblar-store/iphone-12-64gb-bekas-yaaa-1732037557751088760?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,Wonderland Store,5.0,90,iPhone 12 Series,iPhone 12,64GB,N/A,Rp6.960.000,Malang,https://www.tokopedia.com/wonderlandvalen/second-like-new-original-iphone-12-64gb-128gb-256gb-fullsetmulus-64gb-black?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch%26whid%3D14977914
Tokopedia,Juwaroo,0.0,1,iPhone 12 Series,iPhone 12,128GB,N/A,Rp3.960.000,Jakarta,https://www.tokopedia.com/juwaroo/iphone-12-ex-ibox-ram-128-1734037311702140268?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,PACIFIC GADGET MAKASSAR_NEW,5.0,4,iPhone 12 Series,iPhone 12,128GB,N/A,Rp4.305.000,Makassar,https://www.tokopedia.com/pacific-gadget-makassar/iphone-12-64-128gb-black-fullset-1731813284080813096?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,Arwana cell_NEW,0.0,1,iPhone 12 Series,iPhone 12,128GB,100,Rp3.060.000,Tangerang,https://www.tokopedia.com/arwanacell18/0dxw-147-iphone-12-ram-128gb-inter-ll-a-1735723459686336356?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,Jordan Corner Store,5.0,80,iPhone 12 Series,iPhone 12,64GB,N/A,Rp4.082.000,Yogyakarta,https://www.tokopedia.com/jbgadgetstore/iphone-12-64gb-128gb-256gb-second-all-provider-bea-cukai-original-like-new-fullset-bergaransi-1730750125863962153?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,Panda Jaya Gadget,4.9,100,iPhone 12 Series,iPhone 12,64GB,80,Rp4.909.000,Tangerang Selatan,https://www.tokopedia.com/panda-jaya-gadget/ibox-iphone-12-pro-pro-max-64gb-128gb-256gb-second-resmi-ex-ibox-1733328700657141157?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,Great Apple,4.7,30,iPhone 12 Series,iPhone 12,64GB,80,Rp4.085.000,Depok,https://www.tokopedia.com/greatappleid/iphone-12-64gb-128gb-256gb-garansi-resmi-ibox-inter-fullset-like-new-64-gb-fullset-inter-de556?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,Nalom sihotang,0.0,1,iPhone 12 Series,iPhone 12,64GB,N/A,Rp3.460.000,Jakarta Pusat,https://www.tokopedia.com/nalom-sihotang/iphone-12-64-blue-inter-mulus-1732428769696122749?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,Wostoreofficiall,4.7,10,iPhone 12 Series,iPhone 12,128GB,80,Rp4.156.000,Jakarta,https://www.tokopedia.com/wostoreofficiall/iphone-12-second-internasional-hitam-128-gb-ef4b4?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,superfix168,5.0,40,iPhone 12 Series,iPhone 12,64GB,95,Rp3.300.000,Jakarta Barat,https://www.tokopedia.com/superfix168/hp-iphone-12-64gb-128gb-256gb-handphone-apple-second-fullset-100-original-bergaransi-ex-inter-64-gb-black-94e05?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,alestore78,4.9,80,iPhone 12 Series,iPhone 12,64GB,N/A,Rp4.060.000,Jakarta Utara,https://www.tokopedia.com/alestore78/iphone-12-64gb-128gb-256gb-seken-fullset-green-12-64gb?extParam=ivf%3Dfalse%26keyword%3Diphone+12+second%26search_id%3D20260722144344F504DBF83E6F6E3ACUME%26src%3Dsearch
Tokopedia,iZona ID,0.0,5,iPhone 12 Series,iPhone 12,64GB,85,Rp4.559.000,Bandung,https://www.tokopedia.com/izona-id/iphone-12-64gb-128gb-original-second-inter-ibox-bc-termurah-izona-1732182053678646820?extParam=ivf%3Dtrue%26keyword%3Diphone+12+bekas%26search_id%3D20260722145106F504DBF83E6F6E1533BG%26src%3Dsearch
Tokopedia,Z Nine Jakarta,0.0,1,iPhone 12 Series,iPhone 12 Pro,128GB,N/A,Rp7.410.000,Kab. Tangerang,https://www.tokopedia.com/z-nine-jakarta/apple-iphone-12-pro-resmi-ex-ibox-beacukai-internasional-garansi-12-bulan-dan-iphone-12-1734374987203773506?extParam=ivf%3Dfalse%26keyword%3Diphone+12+bekas%26search_id%3D20260722145106F504DBF83E6F6E1533BG%26src%3Dsearch
Tokopedia,AFAGADGET,5.0,50,iPhone 12 Series,iPhone 12,64GB,N/A,Rp3.835.000,Depok,https://www.tokopedia.com/afagadgetstore/apple-iphone-12-256gb-128gb-64gb-original-garansi-resmi-ibox-indonesia-1731061792747390064?extParam=ivf%3Dfalse%26keyword%3Diphone+12+bekas%26search_id%3D20260722145106F504DBF83E6F6E1533BG%26src%3Dsearch
Tokopedia,Estetika Gadget,0.0,1,iPhone 12 Series,iPhone 12,128GB,N/A,Rp4.536.000,Makassar,https://www.tokopedia.com/taufiksahkar/iphone-12-resmi-garansi-ibox-1731399391455643272?extParam=ivf%3Dfalse%26keyword%3Diphone+12+bekas%26search_id%3D20260722145106F504DBF83E6F6E1533BG%26src%3Dsearch
Tokopedia,Kitar ID,5.0,14,iPhone 12 Series,iPhone 12,64GB,N/A,Rp5.780.000,Jakarta Selatan,https://www.tokopedia.com/kitar-id/secondhand-iphone-12-ex-ibox-beacukai-imei-permanen-garansi-12-bln-kualitas-teruji-resmi-fullset-64gb-128gb-256gb-1733278456598332639?extParam=ivf%3Dfalse%26keyword%3Diphone+12+bekas%26search_id%3D20260722145106F504DBF83E6F6E1533BG%26src%3Dsearch
Tokopedia,DISON CELL,5.0,2,iPhone 12 Series,iPhone 12,128GB,88,Rp5.860.000,Jakarta Pusat,https://www.tokopedia.com/dison-cell/iphone-12-128-gb-resmi-ibox-1732989949842654817?extParam=ivf%3Dfalse%26keyword%3Diphone+12+bekas%26search_id%3D20260722145106F504DBF83E6F6E1533BG%26src%3Dsearch
Tokopedia,THRYVES,5.0,1,iPhone 12 Series,iPhone 12,64GB,N/A,Rp4.020.000,Depok,https://www.tokopedia.com/thryves/apple-iphone-12-64gb-128gb-256gb-original-garansi-resmi-ibox-1731398295257646639?extParam=ivf%3Dfalse%26keyword%3Diphone+12+bekas%26search_id%3D20260722145106F504DBF83E6F6E1533BG%26src%3Dsearch
Tokopedia,superfix168,0.0,8,iPhone 12 Series,iPhone 12,64GB,95,Rp3.200.000,Jakarta Barat,https://www.tokopedia.com/superfix168/hp-iphone-12-wifi-only-64gb-128gb-256gb-handphone-apple-second-fullset-100-original-bergaransi-ex-inter-1730903769345066935?extParam=ivf%3Dfalse%26keyword%3Diphone+12+bekas%26search_id%3D20260722145106F504DBF83E6F6E1533BG%26src%3Dsearch
Tokopedia,QQ store168,4.8,100,iPhone 12 Series,iPhone 12 Mini,64GB,N/A,Rp3.560.000,Jakarta Barat,https://www.tokopedia.com/cris0880/iphone-12-mini-64gb-128gb-256gb-second-normal-mulus-fullset-64gb-green-d2c2d?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Mobile Phone Shop BEC,4.9,100,iPhone 12 Series,iPhone 12 Mini,256GB,N/A,Rp4.264.000,Bandung,https://www.tokopedia.com/mobilephonebec/iphone-12-mini-64-128-256-gb-second-99-like-new-ibox-inter-purple-64-gb-inter-1e2c6?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Wonderland Store,4.9,40,iPhone 12 Series,iPhone 12 Mini,64GB,N/A,Rp8.460.000,Surabaya,https://www.tokopedia.com/wonderlandvalen/second-like-new-original-iphone-12-mini-64gb-128gb-256gb-fullsetmulus-black-64gb?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Ramai Phone 88,0.0,11,iPhone 12 Series,iPhone 12 Mini,64GB,N/A,Rp3.040.000,Jakarta Utara,https://www.tokopedia.com/ramaiphone88/iphone-12-mini-64gb-128gb-second-garansi-1-bulan-1731881651586958906?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Cahaya Handphone,0.0,2,iPhone 12 Series,iPhone 12 Mini,64GB,100,Rp2.960.000,Jakarta Barat,https://www.tokopedia.com/cahayahandphone7/second-iphone-12-mini-64gb-128gb-garansi-1-bulan-fullset-wifi-only-64gb-865c2?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,SDJ TOKO,0.0,1,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp2.360.000,Jakarta Utara,https://www.tokopedia.com/sdj-toko/iphone-12-mini-ibox-second-1732404202776593481?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Azizstore818,4.8,100,iPhone 12 Series,iPhone 12 Mini,64GB,N/A,Rp4.059.000,Jakarta Utara,https://www.tokopedia.com/azizstore818/iphone-12-mini-256gb-128gb-64gb-second-original-100-fullset-like-new-128gb-sim-stick-putih-5a765?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Kitar ID,4.8,16,iPhone 12 Series,iPhone 12 Mini,64GB,N/A,Rp5.150.000,Jakarta Selatan,https://www.tokopedia.com/kitar-id/secondhand-iphone-12-mini-ex-ibox-beacukai-imei-permanen-garansi-12-bln-kualitas-teruji-resmi-fullset-64gb-128gb-256gb-1733278947528901855?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Doki Gadget Store,0.0,1,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp3.409.000,Jakarta Barat,https://www.tokopedia.com/dokistore/iphone-12-mini-128gb-second-bekas-original-mulus-1732729441582679724?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,alestore78,5.0,80,iPhone 12 Series,iPhone 12 Mini,64GB,N/A,Rp3.710.000,Jakarta Utara,https://www.tokopedia.com/alestore78/iphone-12-mini-64gb-128gb-256gb-second-mulus-original-black-12-mini-128gb?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Home Gadget.,5.0,12,iPhone 12 Series,iPhone 12 Mini,64GB,93,Rp3.960.000,Malang,https://www.tokopedia.com/archive-homegadget--1663892325/iphone-12-mini-64gb-fullset-1732036621791495694?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Abah Apple Official,5.0,5,iPhone 12 Series,iPhone 12 Mini,64GB,N/A,Rp3.140.000,Jakarta,https://www.tokopedia.com/abah-apple-official/iphone-12-mini-64gb-128gb-second-iphone-pontianak-1733499770885080899?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Serba-serbi i,5.0,1,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp1.960.000,Kab. Kendal,https://www.tokopedia.com/serba-serbi-i/iphone-12-mini-second-mati-1731256936837186901?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Jet Store ,0.0,1,iPhone 12 Series,iPhone 12 Mini,64GB,N/A,Rp3.659.000,Jakarta,https://www.tokopedia.com/jet-store-/apple-iphone-12-mini-64gb-128gb-256gb-original-second-seken-bekas-resmi-ibox-inter-bc-1731132804711024024?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,MK Cellular Medan,5.0,21,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp5.843.000,Kab. Deli Serdang,https://www.tokopedia.com/mkcelullar/second-iphone-12-mini-128gb-black?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,OD MOBILE GADGET,0.0,4,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp4.360.000,Malang,https://www.tokopedia.com/od-mobile/iphone-12-mini-128-second-internasional-1731957009303308234?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Item 2nd Shop,5.0,3,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp3.960.000,Depok,https://www.tokopedia.com/item2ndshop/iphone-12-mini-ex-inter-second?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,alestore78,4.8,30,iPhone 12 Series,iPhone 12 Mini,64GB,90,Rp4.810.000,Jakarta Utara,https://www.tokopedia.com/alestore78/imei-bea-cukai-iphone-12-mini-64gb-128gb-256gb-second-bekas-original-fullset-mulus-like-new-black-128gb-bea-cukai-24a92?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Gadget68,4.7,11,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp5.397.000,Bekasi,https://www.tokopedia.com/gadget68/iphone-12-mini-128gb-ibox-fullset-1731299343272215779?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,BetterSecondCell,0.0,2,iPhone 12 Series,iPhone 12 Mini,64GB,N/A,Rp4.459.000,Denpasar,https://www.tokopedia.com/bettersecond/iphone-12-mini-64gb-128gb-256gb-ex-inter-fullset-bergaransi-64gb-4b1e4?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Wendyefendy,4.8,11,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp4.159.000,Jakarta,https://www.tokopedia.com/wendyefendy/apple-iphone-12-mini-128gb-original-128-gb-second-seken-bekas-mulus-inter-bc-ibox-1731115689330181586?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Gadget68,5.0,10,iPhone 12 Series,iPhone 12 Mini,256GB,N/A,Rp4.530.000,Bekasi,https://www.tokopedia.com/gadget68/iphone-12-mini-256gb-fullset-1734193792545752622?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,iColor_NEW,0.0,1,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp4.460.000,Tangerang Selatan,https://www.tokopedia.com/icolor-238/iphone-12-mini-128gb-256gb-512gb-second-bekas-original-100-mulus-normal-fullset-kondisi-perfect-1733137992875345502?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Arwana cell_NEW,0.0,1,iPhone 12 Series,iPhone 12 Mini,128GB,68,Rp4.160.000,Tangerang,https://www.tokopedia.com/arwanacell18/0gq1-87-iphone-12-mini-ram-128gb-ibox-id-a-1733445043402409828?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Flickercell,5.0,23,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp5.085.000,Bandung,https://www.tokopedia.com/flickercell/iphone-12-mini-second-mulus-fullset-ex-inter-1730753723134478217?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Kfistore Surakarta,5.0,4,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp5.360.000,Jakarta,https://www.tokopedia.com/kfistore-surakarta/iphone-12-mini-64-128gb-second-ibox-1732510285219268409?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+second%26search_id%3D2026072214582840008B9A5380FC32B2OD%26src%3Dsearch
Tokopedia,Boboystore889 Shop,4.8,500,iPhone 12 Series,iPhone 12 Mini,64GB,90,Rp3.360.000,Jakarta Barat,https://www.tokopedia.com/boboystore889-shop/iphone-12-mini-64gb-128gb-256gb-second-fullset-1734550508573066986?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+bekas%26search_id%3D20260722150518B83AAC23B9528708BZEC%26src%3Dsearch
Tokopedia,Februarimart,0.0,1,iPhone 12 Series,iPhone 12 Mini,256GB,N/A,Rp2.410.000,Kab. Bekasi,https://www.tokopedia.com/februari-mart/iphone-12-mini-256-gb-ex-internasional-lla-1730715391154554443?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+bekas%26search_id%3D20260722150518B83AAC23B9528708BZEC%26src%3Dsearch
Tokopedia,Betawi Punya Hape_NEW,5.0,10,iPhone 12 Series,iPhone 12 Mini,64GB,68,Rp3.150.000,Depok,https://www.tokopedia.com/kebagusanps/iphone-12-mini-64gb-fullset-normal-1732236648792228932?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+bekas%26search_id%3D20260722150518B83AAC23B9528708BZEC%26src%3Dsearch
Tokopedia,86 Gear,5.0,1,iPhone 12 Series,iPhone 12 Mini,64GB,N/A,Rp2.960.000,Kab. Sleman,https://www.tokopedia.com/86gear/iphone-12-mini-inter-off-unit-only-1732749743076771292?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+bekas%26search_id%3D20260722150518B83AAC23B9528708BZEC%26src%3Dsearch
Tokopedia,Smey Store,0.0,1,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp4.660.000,Kab. Gresik,https://www.tokopedia.com/smey-store/iphone-12-mini-new-old-stock-1733792398839809566?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+bekas%26search_id%3D20260722150518B83AAC23B9528708BZEC%26src%3Dsearch
Tokopedia,Ibgadgetstore,5.0,16,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp3.955.000,Semarang,https://www.tokopedia.com/ibgadgetstoresemarang/iphone-12-mini-128-gb-64-gb?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+bekas%26search_id%3D20260722150518B83AAC23B9528708BZEC%26src%3Dsearch
Tokopedia,Kevin Store 93,0.0,1,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp3.960.000,Jakarta Selatan,https://www.tokopedia.com/kevin-store-93/iphone-12-mini-128-gb-baru-ya-1731589495394764498?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+bekas%26search_id%3D20260722150518B83AAC23B9528708BZEC%26src%3Dsearch
Tokopedia,Gadget68,5.0,2,iPhone 12 Series,iPhone 12 Mini,128GB,N/A,Rp4.075.000,Bekasi,https://www.tokopedia.com/gadget68/iphone-12-mini-128gb-fullset-1731244078396703971?extParam=ivf%3Dfalse%26keyword%3Diphone+12+mini+bekas%26search_id%3D20260722150518B83AAC23B9528708BZEC%26src%3Dsearch
Tokopedia,Mobile Phone Shop BEC,4.9,50,iPhone 12 Series,iPhone 12 Pro,256GB,N/A,Rp5.997.000,Bandung,https://www.tokopedia.com/mobilephonebec/iphone-12-pro-128-256-gb-second-99-like-new-garansi-ibox-inter-silver-128-gb-inter-5adf9?extParam=ivf%3Dfalse%26keyword%3Diphone+12+pro+second%26search_id%3D20260722151225A8C88A0055F63633ELSQ%26src%3Dsearch
Tokopedia,Boboystore889 Shop,4.9,1000,iPhone 12 Series,iPhone 12 Pro,128GB,90,Rp5.360.000,Jakarta Barat,https://www.tokopedia.com/boboystore889-shop/iphone-12-pro-128gb-256gb-512gb-bekas-fullset-128gb-gold?extParam=ivf%3Dfalse%26keyword%3Diphone+12+pro+second%26search_id%3D20260722151225A8C88A0055F63633ELSQ%26src%3Dsearch
Tokopedia,iZona ID,5.0,5,iPhone 12 Series,iPhone 12 Pro,128GB,85,Rp5.960.000,Bandung,https://www.tokopedia.com/izona-id/iphone-12-pro-second-original-garansi-inter-ex-ibox-bc-128gb-256gb-512gb-izona-1732182158363035172?extParam=ivf%3Dtrue%26keyword%3Diphone+12+pro+second%26search_id%3D20260722151225A8C88A0055F63633ELSQ%26src%3Dsearch
Tokopedia,Panda Jaya Gadget,5.0,100,iPhone 12 Series,iPhone 12 Pro,128GB,85,Rp4.909.000,Tangerang Selatan,https://www.tokopedia.com/panda-jaya-gadget/ibox-iphone-12-pro-pro-max-128gb-256gb-512gb-second-garansi-ibox-1733330297830081957?extParam=ivf%3Dfalse%26keyword%3Diphone+12+pro+second%26search_id%3D20260722151225A8C88A0055F63633ELSQ%26src%3Dsearch
Tokopedia,MitaMilka,5.0,14,iPhone 12 Series,iPhone 12 Pro,256GB,93,Rp4.570.000,Semarang,https://www.tokopedia.com/mitaindri/di-jual-iphone-12-pro-256-silver-inter?extParam=ivf%3Dfalse%26keyword%3Diphone+12+pro+second%26search_id%3D20260722151225A8C88A0055F63633ELSQ%26src%3Dsearch
Tokopedia,Cyrus Cell BEC,5.0,21,iPhone 12 Series,iPhone 12 Pro,128GB,85,Rp6.719.000,Bandung,https://www.tokopedia.com/cyruscelluler/iphone-12-pro-128gb-256gb-second-ibox-inter-100-original-fullset-silver-256-gb?extParam=ivf%3Dtrue%26keyword%3Diphone+12+pro+second%26search_id%3D20260722151225A8C88A0055F63633ELSQ%26src%3Dsearch
Tokopedia,SparepartPhoneID,5.0,1,iPhone 12 Series,iPhone 12 Pro,128GB,N/A,Rp3.610.000,Jakarta Timur,https://www.tokopedia.com/diamondterpecaya/iphone-6-16gb-second-normal?extParam=ivf%3Dfalse%26keyword%3Diphone+12+pro+second%26search_id%3D20260722151225A8C88A0055F63633ELSQ%26src%3Dsearch
