Platform,Nama Toko,Rating Produk,Produk Terjual,Kategori Seri,Kategori Varian,penyimpanan,Battery Health,Harga,Wilayah Toko,Link Pembelian
Tokopedia,Wonderland Store,4.6,30,iPhone 11 Series,iPhone 11 Pro,64GB,N/A,Rp8.500.000,Surabaya,https://www.tokopedia.com/wonderlandvalen/second-iphone-11-pro-64-gb-fullset-100-original-mulus-silver?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch%26whid%3D374709
Tokopedia,iZona ID,0.0,4,iPhone 11 Series,iPhone 11 Pro,64GB,85,Rp4.490.000,Bandung,https://www.tokopedia.com/izona-id/iphone-11-pro-second-garansi-inter-ex-ibox-bc-64gb-256gb-512gb-izona-1732181854321739300?extParam=ivf%3Dtrue%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,iZona ID,0.0,2,iPhone 11 Series,iPhone 11 Pro Max,512GB,85,Rp5.465.000,Bandung,https://www.tokopedia.com/izona-id/iphone-11-pro-max-64-256-512gb-original-second-inter-ibox-bc-izona-1732182001941186084?extParam=ivf%3Dtrue%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Khanasa3109,5.0,2,iPhone 11 Series,iPhone 11,128GB,85,Rp3.000.000,Jakarta Timur,https://www.tokopedia.com/khanasa3109/iphone-11-128gb-second-ibox?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Ready Stoock,5.0,4,iPhone 11 Series,iPhone 11,64GB,N/A,Rp6.900.000,Jakarta Pusat,https://www.tokopedia.com/rstoock-1/iphone-11-64gb-ibox-second?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Laris Berkah Gadget,4.9,20,iPhone 11 Series,iPhone 11 Pro Max,64GB,N/A,Rp5.700.000,Jakarta Selatan,https://www.tokopedia.com/laris-berkah-gadget/iphone-11-pro-max-64gb-256gb-second-fullset-mulus-like-new-1731207094681569028?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,FairiPackaging,5.0,1,iPhone 11 Series,iPhone 11 Pro Max,256GB,N/A,Rp7.000.000,Kab. Tangerang,https://www.tokopedia.com/fairiofficial/iphone-11-promax-256gb-second-fullset?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Bintang Celll_NEW,5.0,2,iPhone 11 Series,iPhone 11,64GB,N/A,Rp7.000.000,Jakarta Timur,https://www.tokopedia.com/bintangcelllular/iphone-11-64gb-second-inter-mulus-fullset-all-oprator?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
Tokopedia,Tech Island,5.0,9,iPhone 11 Series,iPhone 11 Pro Max,512GB,N/A,Rp9.298.000,Malang,https://www.tokopedia.com/techisland/second-iphone-11-pro-max-512gb-nano-esim-fullset-original-mulus-silver?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch%26whid%3D16300539
Tokopedia,personaluse27,5.0,8,iPhone 11 Series,iPhone 11,64GB,N/A,Rp6.000.000,Bandung,https://www.tokopedia.com/personaluse27/iphone-11-64gb-second?extParam=ivf%3Dfalse%26keyword%3Diphone+11+second%26search_id%3D202607221344513AD7C2EBB96FCB14C1M6%26src%3Dsearch
